userId;numCores;diskSpace;memory;swap;distroVersion;kernel;class;cpu;country;architecture;distribution
250250;0;35798;971;1617;14.04.3 LTS, Trusty Tahr;3.10.80;desktop;Cortex-A7 Quad-Core;Israel;arm;Ubuntu
527321;4;476313;4046;4194;17.2;3.13.0;desktop;AMD Athlon(tm) II X4 640 Processor;Poland;x86_64;Linux Mint
32822;4;500000;4096;\N;Linux Mint 17 Cinnamon 6;3.13.0;desktop;AMD Phenom II X4 840;United States;i686;Linux Mint
588704;4;\N;\N;\N;14.04.2 LTS, Trusty Tahr;3.13.0;desktop;AMD Athlon(tm) II X4 620 Processor;Spain;i686;Xubuntu
534879;4;1943475;8151;2158;8 (jessie);3.16.0;desktop;AMD FX(tm)-4100 Quad-Core Processor;Germany;x86_64;Debian
578555;4;\N;\N;\N;\N;4.1.4;desktop;Intel Core i7-2630QM;United Kingdom;x86_64;Arch
460656;4;658571;16432;0;15.04 (Vivid Vervet);3.19.0;desktop;AMD Phenom(tm) II X4 955 Processor;Finland;x86_64;Ubuntu
450286;4;480581;8070;9317;14.04.1 LTS, Trusty Tahr;3.13.0;desktop;Intel Core i5 4200U;Sweden;x86_64;Ubuntu
498109;1;80000;690;1400;jessie;3.16.0;desktop;AMD;United States;i386;Debian
470660;4;1906126;16381;16723;14.04.2 LTS, Trusty Tahr;3.19.0;desktop;64-bit 4x Intel Core i5-3470 CPU;Ireland;x86_64;Ubuntu
557424;2;\N;4096;0;Stretch;4.1.0;desktop;Athlon 64 x2 5000+;Poland;amd64;Debian
589179;\N;60000;2000;\N;14.04;3.13;desktop;Intel Atom D525 1.8 GHz Dual-Core;Sweden;amd64;Ubuntu
586566;2;\N;12;\N;14.04 LTS;3.19.0;desktop;Intel Core i5;France;x86_64;Ubuntu
558505;4;1695290;6098;9912;8 (jessie);4.1.5;desktop;Intel Core i5;Belgium;x86_64;Debian
221396;2;1284638;4047;4036;14.04.3 LTS, Trusty Tahr;3.16.0;desktop;Intel Core2 Duo E4600;Italy;x86_64;Ubuntu
589678;2;2500000;6000;\N;14.04.3 LTS;3.13.0;desktop;Intel Core i7 2620;Brazil;amd64;Ubuntu
589709;4;2147483;16433;0;15.10 (Wily Werewolf);4.2.0;desktop;AMD Phenom(tm) II X4 840 Processor;Poland;x86_64;Ubuntu
376922;2;476813;3640;3776;15.04 (Vivid Vervet);3.19.0;desktop;AMD E-450 APU with Radeon(tm) HD Graphics;Switzerland;x86_64;Ubuntu
502793;4;281110;8175;4063;22 (Twenty Two);4.2.3;desktop;Intel Core 2 Quad;United States;x86_64;Fedora
476695;3;1030491;4047;4061;14.04.1 LTS, Trusty Tahr;3.13.0;desktop;AMD Athlon(tm) II X3 440 Processor;Finland;x86_64;Ubuntu
523598;4;588114;8160;15657;8 (jessie);3.16.0;desktop;Intel i5 2500k;United Kingdom;x86_64;Debian
463211;4;5765936;12282;2120;\N;4.1.15;desktop;AMD Phenom(tm) II X4 965 Processor;Spain;x86_64;Gentoo Linux
451752;4;475144;8172;10485;\N;4.2.0;desktop;AMD Phenom(tm) 9750 Quad-Core Processor;New Zealand;x86_64;Gentoo Linux
590325;4;\N;\N;\N;17.2;3.13.0;desktop;i5-2400;Romania;x86_64;Linux Mint
473288;\N;230000;\N;\N;0.3.1;3.16.0;desktop;AMD;Chile;amd64;elementary OS
470199;8;1914380;8136;8347;14.04.4 LTS, Trusty Tahr;3.13.0;desktop;i7-3770;Denmark;x86_64;Ubuntu
465279;2;959753;1533;1571;14.04.2 LTS, Trusty Tahr;3.16.0;desktop;Intel(R) Pentium(R) 4 CPU 3.00GHz;Italy;x86_64;Ubuntu
400492;3;477539;4011;2928;14.04.2 LTS, Trusty Tahr;3.13.0;desktop;AMD Athlon(tm) II X3 455 Processor;Finland;x86_64;Ubuntu
502496;2;80000;2000;5100;17.2;3.16.0;desktop;AMD Athlon 64 X2 3800+;Canada;amd64;Linux Mint
554358;6;68447;8083;2097;\N;4.1.15;desktop;AMD FX(tm)-6300 Six-Core Processor;Italy;x86_64;Gentoo Linux
551181;4;946425;8121;7811;\N;4.4.3;desktop;i5-4690k;Switzerland;x86_64;Arch
593633;\N;\N;\N;\N;8;3.16.0;desktop;VirtualBox;Germany;x86_64;Debian
193988;4;479274;8074;1052;42.1;4.4.4;desktop;Intel 2500K (Sandy Bridge);Germany;x86_64;openSUSE
456230;8;3515872;16377;0;sid;4.3.0;desktop;Core i7-4790K;United States;x86_64;Debian
321175;4;\N;8000;\N;14.04;3.19.0;desktop;Q9550 2.83GHz;Malta;x86_64;Ubuntu
475785;2;479421;12265;1054;42.1;4.1.13;desktop;Celeron Dual Core CPU;Argentina;x86_64;openSUSE
595058;2;500000;4000;0;\N;4.3.3;desktop;i3-4150 Processor;Italy;x86_64;Arch
543984;1;7616;350;0;6.0.1;4.1.16;desktop;ARMv6-compatible processor rev 7 (v6l);United Kingdom;arm;OpenELEC
543984;4;7636;755;0;6.0.3;4.1.18;desktop;ARMv7 Processor rev 5 (v7l);United Kingdom;arm;OpenELEC
507255;\N;2000000;16000;\N;\N;4.4.2;desktop;i7-4770K;Switzerland;x86_64;Arch
597137;4;\N;8;\N;17.3;3.19.0;desktop;AMD Phenom(tm) II X4 955;Croatia;x86_64;Linux Mint
411501;2;\N;8000;16000;\N;3.19.0;desktop;Dual Core 2;Bolivia;amd64;Ubuntu
411501;2;\N;4000;\N;14.04;3.16;desktop;dual core;Bolivia;amd64;Ubuntu
411501;4;\N;4000;\N;14.04;3.16;desktop;i5;Bolivia;amd64;Ubuntu
425085;4;1000;8;8;14.04;2.6.38;desktop;Genuine Intel(R) CPU;Italy;x86_64;Kubuntu
424781;8;\N;\N;\N;\N;4.2.5;desktop;AMD Athlon 64 X2 4200+;United States;x86_64;Arch
400557;2;303405;4046;0;10 Core;3.19.0;desktop;Intel Core 2 Duo;Italy;x86_64;Zorin OS
509406;4;\N;8192;5120;\N;4.1.5;desktop;Intel i5 4590;Lithuania;x86_64;Arch
510155;2;1;6;0;KDE;3.18;desktop;Intel;United States;amd64;PCLinuxOS
62919;1;81920;1500;0;\N;3.18.12;desktop;Intel Pentium 4 2.8 Ghz;Netherlands;i686;Gentoo Linux
545408;8;4980103;8133;249;Saahriktux 7.6.0 (Immate;4.1.3;desktop;Intel(R) Core(TM) i7-2600K CPU;Russian Federation;x86_64;Debian
413348;1;0;0;0;\N;3.2.0;desktop;Intel Core i5;Ecuador;unknown;Ubuntu
571926;4;29895;16040;0;14.04;3.13.0;desktop;Intel(R) Core(TM) i3 CPU 550;France;x86_64;Ubuntu
584405;2;628916;3022;2029;17;3.13.0;desktop;Intel(R) Core(TM)2 CPU 6400;Slovenia;i686;Linux Mint
527213;4;\N;\N;\N;jessie;3.16.0;desktop;Icore 5;Mexico;unknown;Debian
586788;2;\N;\N;\N;Jessie;3.16.0;desktop;Intel Core i3;Spain;x86_64;Debian
548111;2;1060943;4007;35;15.10 (Wily Werewolf);4.2.0;desktop;AMD Athlon(tm) 64 X2 Dual Core Processor 5000;Canada;i686;Xubuntu
586985;4;23646758;8108;9437;13.2 (Harlequin);3.16.7;desktop;intel core i5-4460;Germany;x86_64;openSUSE
587028;4;2000;\N;\N;rebecca;3.13.0;desktop;AMD Phenom II X4 955;Belgium;amd64;Linux Mint
587078;4;1921510;8155;975;14.04.3 LTS, Trusty Tahr;3.13.0;desktop;Core i3;Brazil;x86_64;Ubuntu
587090;1;\N;1500;\N;\N;2.6.32;desktop;AMD64 3500+;France;unknown;Debian
587137;4;\N;\N;\N;15.04;3.19.0;desktop;Intel i5;India;amd64;Ubuntu
587132;2;\N;\N;\N;14.04;3.13.0;desktop;Intel Atom;Paraguay;amd64;Ubuntu
587151;4;\N;8000;\N;14.04;3.13.0;desktop;Intel i5;Spain;amd64;Ubuntu
424841;1;1091472;1926;3905;8 (jessie);3.16.0;desktop;AMD Athlon(tm) 64 Processor 3200;Canada;x86_64;Debian
587190;2;163840;4096;100;Mate 1.8.1;3.16.0;desktop;Intel Pentium core2 duo 3.0GhZ;Spain;x86_64;Linux Mint
587303;1;36268;1017;1967;14.04.3 LTS, Trusty Tahr;3.13.0;desktop;Intel(R) Pentium(R) 4 CPU 2.80GHz;France;i686;Ubuntu
587317;8;\N;\N;\N;\N;4.0.4;desktop;i7;Brazil;x86_64;Arch
587424;2;2845;5953;4;14.1;3.10.17;desktop;AMD Athlon 64 X2 5200+;Poland;x86_64;Slackware
587517;\N;\N;\N;\N;22;4.0.4;desktop;Intel Celeron D;Czech Republic;i686;Fedora
587552;2;\N;2000;4000;a;3.13.0;desktop;Core 2 Duo;Cuba;amd64;Ubuntu
587614;4;1128;8;0;15.12 Capella;4.4.0;desktop;Intel Core i5-4670;Germany;x86_64;Manjaro Linux
587641;8;8000000;16384;0;7.x;3.16.7;desktop;i7 3770k;Germany;amd64;Debian
587717;2;1166889;2048;2440;14.04.3 LTS, Trusty Tahr;3.19.0;desktop;Intel(R) Pentium(R) D CPU 2.66GHz;Germany;x86_64;Ubuntu
119;4;\N;\N;\N;5.0;2.6.32;desktop;AMD Phenom 9500 Quad-Cor;United States;x86_64;CentOS
4684;4;4631902;8099;12582;\N;4.3.6;desktop;Intel Core i5 4400;United States;x86_64;Gentoo Linux
9696;2;326677;3958;4194;8 (jessie);2.6.32;desktop;Intel Core 2 Duo;Hong Kong;x86_64;Debian
70402;4;\N;\N;\N;14.04;3.13.0;desktop;Intel i3-2100;Slovenia;amd64;Ubuntu
97730;2;\N;\N;\N;Wheez 7.8;3.2.04;desktop;Pentium (R) Dual Core T4400;Poland;i686;Debian
19907;8;383580;16410;23711;21 (Twenty One);3.19.5;desktop;intel i-7;Denmark;x86_64;Fedora
151905;8;4905968;7854;8388;23 (Twenty Three);4.3.3;desktop;Intel(R) Core(TM) i7-4770 CPU;Netherlands;x86_64;Fedora
133954;8;603528;8142;0;8 (jessie);3.17.0;desktop;Xeon E3-1230v2;Germany;x86_64;Kanotix
50401;1;83108;2010;13;testing/unstable;2.6.27;desktop;AMD Sempron(tm) Processor 3000;Canada;i686;Knoppix
60452;4;5000000;16000;6500;Jessie;3.16;desktop;Intel(R) Core(TM) i5-3570K CPU;Finland;amd64;Debian
151905;8;5072669;7852;4194;23 (Twenty Three);4.2.5;desktop;Intel(R) Core(TM) i7-4770 CPU;Netherlands;x86_64;Fedora
400151;4;500000;4096;\N;9.0;3.16.0;desktop;Intel Core i5;Spain;amd64;Debian
326419;4;4001071;16432;26020;14.04.1 LTS, Trusty Tahr;3.13.0;desktop;AMD Phenom(tm) II X4 850 Processor;Germany;x86_64;Ubuntu
326419;4;58569;3988;3016;7 (wheezy);3.2.0;desktop;Intel i3 530;Germany;x86_64;Debian
293162;4;4000000;8000;8197;6.0;3.0.101;desktop;AMD Phenom(tm) 9850 Quad-Core Processor;Ukraine;x86_64;ALT Linux
463954;8;1060342;8133;8345;15.04 (Vivid Vervet);3.19.0;desktop;Intel i7 860;France;x86_64;Ubuntu
425729;4;226741;4006;3906;\N;4.1.1;desktop;Inte Core i5-2500;Italy;x86_64;Manjaro Linux
486015;4;1111713;16317;16777;\N;4.1.1;desktop;AMD Phenom(tm) II X4 965 Processor;Germany;x86_64;Gentoo Linux
563539;2;450725;3612;3903;14.04.3 LTS, Trusty Tahr;3.13.0;desktop;Intel(R) Pentium(R) 4 CPU 3.20GHz;United States;i686;Ubuntu
292320;1;36468;2061;2029;12.04.5 LTS, Precise Pan;3.2.0;desktop;Intel(R) Pentium(R) 4 CPU 2.80GHz;Germany;i686;Ubuntu
460385;4;113018;4001;4200;13.1 (Bottle);3.11.10;desktop;Intel Core i5-4670;Spain;x86_64;openSUSE
461856;4;3062013;6115;8388;\N;4.0.7;desktop;AMD Phenom(tm) II X4 965 Processor;Germany;x86_64;Arch
344141;4;1456646;7966;8256;7 (Core);3.10.0;desktop;Intel Core i7;Peru;x86_64;CentOS
588719;2;667164;7936;5185;8 (jessie);3.16.0;desktop;Intel;Germany;x86_64;Debian
247431;4;4606356;32912;10485;13.2 (Harlequin);3.16.7;desktop;0;Germany;x86_64;openSUSE
430808;4;\N;\N;\N;17.1 Rebecca;3.13.0;desktop;x64;Costa Rica;amd64;Linux Mint
368065;8;\N;\N;\N;14.10;3.16.0;desktop;i7;Brazil;amd64;Ubuntu
435740;6;2;\N;\N;\N;3.13.3;desktop;AMD;Ireland;amd64;Mindi Linux
517111;2;500;4;5;GNOME lts;3.16.7;desktop;AMD 15:AMD-Athlon(tm)-64-X2-Dual-Core-Proc;Italy;amd64;Ubuntu
545349;6;2411288;8128;4192;\N;4.4.3;desktop;AMD FX(tm)-6300 Six-Core Processor;Netherlands;x86_64;Gentoo Linux
589374;3;957301;3527;4059;15.04 (Vivid Vervet);3.19.0;desktop;AMD Athlon(tm) II X3 445 Processor;Spain;x86_64;Ubuntu
374329;2;1;8;0;22;4.1.6;desktop;AMD Athlon X2 BE-2350;Poland;x86_64;Fedora
164972;6;\N;\N;\N;wheezy;3.2.0;desktop;4 x Intel(R) Xeon(R) CPU E5-2620;France;x86_64;Debian
342687;4;2863461;30753;66803;\N;4.1.5;desktop;AMD A10-7850K Radeon R7, 12 Compute Cores 4C 8G;Romania;x86_64;Gentoo Linux
411059;2;\N;\N;\N;13.1;3.11.10;desktop;E8500;Spain;x86;openSUSE
364386;4;953156;8131;8007;14.04.3 LTS, Trusty Tahr;3.16.0;desktop;Intel(R) Core(TM) i5-3470 CPU;Bangladesh;i686;Ubuntu
491805;8;2000000;8192;\N;\N;4.2.0;desktop;AMD - FX 8350;Argentina;x86_64;Gentoo Linux
436537;4;232411;3789;7811;14.04.3 LTS, Trusty Tahr;3.16.0;desktop;AMD FX(tm)-4100 Quad-Core Processor;Brazil;x86_64;Ubuntu
321488;4;1000000;15000;24000;14.04;3.13.0;desktop;Intel I7;Bahrain;amd64;Ubuntu
269312;4;1000000;12000;\N;17.2;3.16.0;desktop;i7;United States;amd64;Linux Mint
590510;8;1060000;\N;\N;Waldorf;3.2.04;desktop;i7-2600 Intel;Netherlands;amd64;CrunchBang Linux
590547;4;1190816;16408;0;17.2;3.16.0;desktop;i5 2500k;Netherlands;x86_64;Linux Mint
159678;2;1000000;2000;9539;8;3.16.7;desktop;Athlon 64 X2 3000+;Germany;amd64;Debian
311527;4;\N;\N;\N;14.04 LTS;3.13.0;desktop;I5 Intel;Uruguay;x86_64;Ubuntu
590607;2;1000;3000;\N;Freyia 0.3.0;3.16.0;desktop;AMD 15:AMD-Athlon(tm)-64-X2-Dual-Core-Proc;Uruguay;amd64;elementary OS
351162;\N;30000;2048;\N;\N;3.13.0;desktop;P IV;Poland;x86;Xubuntu
484085;1;\N;512;\N;\N;4.0.5;desktop;Pentium 3 Coppermine;United States;i686;Gentoo Linux
564060;\N;\N;\N;\N;LTS 14.04;3.16.7;desktop;Intel 2.4GHz;Italy;amd64;Ubuntu
566101;2;500;\N;\N;14.1;3.10.17;desktop;Intel E7500;Mauritius;x86_64;Slackware
566101;2;1;\N;\N;14.1;3.10.17;desktop;AMD 64 Athlon X2 Dual-Core Processor TK-57;Mauritius;x86_64;Slackware
590940;6;400693;8073;9858;15.10 (Wily Werewolf);4.2.0;desktop;AMD FX(tm)-6300 Six-Core Processor;Germany;x86_64;Ubuntu
591107;6;9000000;16000;20000;8.2 testing;4.0.2;desktop;intel 64bit;United Kingdom;amd64;Debian
401352;2;1000000;1;2000;8;3.0.92;desktop;Athlon 64 3000+;Venezuela;amd64;Debian
591601;\N;\N;\N;\N;\N;4.2.3;desktop;i5-4200U;Russian Federation;x86_64;Debian
591646;2;40000000;4096;4096;15.10;4.2.0;desktop;AMD;Republic Of Moldova;amd64;Ubuntu
591933;4;1000000;8000;4000;42.1;4.1.12;desktop;Intel Core i3-4150;Colombia;x86_64;openSUSE
457271;8;500;10;4;15.10 Wily;4.2.0;desktop;Intel;Spain;x86_64;Ubuntu
592655;1;31864;4023;8388;8.3 (Hydrogen);3.16.0;desktop;Celeron;Japan;x86_64;BunsenLabs
592655;2;102928;2047;4194;15.10 (Wily Werewolf);4.2.0;desktop;Core Duo;Japan;i686;Ubuntu
592655;1;31864;4011;8388;16.04 (Xenial Xerus);4.3.0;desktop;Celeron;Japan;x86_64;Ubuntu
592655;1;31863;4011;8388;16.04 (Xenial Xerus);4.3.0;desktop;Celeron;Japan;x86_64;Ubuntu
592655;1;46314;4012;8388;17.2;3.16.0;desktop;Celeron;Japan;x86_64;Linux Mint
592655;1;46313;4012;8388;17.2;3.16.0;desktop;Celeron;Japan;x86_64;Linux Mint
592655;1;46313;4012;8388;1.5;3.13.0;desktop;Celeron;Japan;x86_64;Ubuntu
592655;1;46314;4012;8388;3.1.1;3.16.0;desktop;Celeron;Japan;x86_64;Bodhi
592655;1;46313;4012;8388;9;3.13.0;desktop;Celeron;Japan;x86_64;Zorin OS
592655;1;46314;4012;8388;0.2 Freya;3.16.0;desktop;Celeron;Japan;x86_64;elementary OS
592655;1;46314;4015;8388;8 Jessie;4.2.0;desktop;Celeron;Japan;x86_64;Debian
592655;1;46314;4023;8388;Debian Edition 2;3.16.0;desktop;Celeron;Japan;x86_64;Linux Mint
592655;1;46314;4023;8388;8;3.16.0;desktop;Celeron;Japan;x86_64;SolydXK
592655;1;31864;4023;8388;8;3.16.0;desktop;Celeron;Japan;x86_64;SolydXK
592655;1;46314;4012;8388;23 (Workstation Edition);4.2.0;desktop;Celeron;Japan;x86_64;Fedora
592655;1;46314;4011;8388;Tumbleweed;4.3.0;desktop;Celeron;Japan;x86_64;openSUSE
592655;1;46313;4012;8388;42.1;4.1.12;desktop;Celeron;Japan;x86_64;openSUSE
592655;1;331516;4013;8388;5;4.1.13;desktop;Celeron;Japan;x86_64;Mageia
592655;1;46314;4013;8388;7.0;4.1.13;desktop;Celeron;Japan;x86_64;Vine Linux
592655;1;120357;4109;16777;6.0.2;3.14.20;desktop;Celeron;Japan;i686;Puppy Linux
592655;1;11353;2041;0;7 (wheezy);3.2.0;desktop;Intel(R) Celeron(R) CPU 2.80GHz;Japan;i686;Debian
592655;1;11352;2035;4194;6.3;3.4.108;desktop;Intel(R) Celeron(R) CPU 2.80GHz;Japan;i686;Vine Linux
592655;1;11222;2029;4194;14.04.3 LTS, Trusty Tahr;3.19.0;desktop;Intel(R) Celeron(R) CPU 2.80GHz;Japan;i686;Xubuntu
592655;1;11222;2034;4194;17.2;3.16.0;desktop;Intel(R) Celeron(R) CPU 2.80GHz;Japan;i686;Linux Mint
592655;1;11222;2030;4194;1.5;3.13.0;desktop;Intel(R) Celeron(R) CPU 2.80GHz;Japan;i686;Ubuntu
592655;1;54813;2034;4194;3.1.1;3.16.0;desktop;Intel(R) Celeron(R) CPU 2.80GHz;Japan;i686;Bodhi
592655;1;11222;2030;5209;9;3.13.0;desktop;Intel(R) Celeron(R) CPU 2.80GHz;Japan;i686;Zorin OS
592655;1;11222;2038;4194;8 (jessie);3.16.0;desktop;Intel(R) Celeron(R) CPU 2.80GHz;Japan;i686;Debian
592655;1;11222;2033;0;7.0;4.1.12;desktop;Intel(R) Celeron(R) CPU 2.80GHz;Japan;i686;Vine Linux
592655;1;33586;2034;4194;6.0.3;3.14.20;desktop;Intel(R) Celeron(R) CPU 2.80GHz;Japan;i686;Puppy Linux
369594;8;\N;\N;\N;Rolling;4.1.13;desktop;AMD - FX 8350;United States;amd64;Netrunner
592655;1;31864;4015;16777;\N;4.2.0;desktop;Celeron;Japan;x86_64;SparkyLinux
592743;4;\N;\N;\N;15.10;4.2.0;desktop;Intel i5;Russian Federation;amd64;Ubuntu
592655;1;155059;4015;16777;8 (jessie);4.2.0;desktop;Celeron;Japan;x86_64;Debian
592655;1;54813;2038;4194;8 (jessie);3.16.0;desktop;Intel(R) Celeron(R) CPU 2.80GHz;Japan;i686;Debian
402602;4;1068293;4050;4193;Sid;4.3.0;desktop;AMD Phenom(tm) 9950 Quad-Core Processor;Argentina;x86_64;Debian
593911;\N;\N;\N;\N;\N;4.3.3;desktop;I5-3470;Germany;x86_64;Arch
593930;4;\N;5479;\N;Jessie (8);3.16.0;desktop;AMD Phemon II X4 945;Colombia;amd64;Debian
592655;1;31995;4016;8388;6.3;3.4.110;desktop;Celeron;Japan;x86_64;Vine Linux
592655;1;186923;4023;16777;\N;3.16.0;desktop;Celeron;Japan;x86_64;Linux Mint
592655;1;31864;4011;16777;14.04.3 LTS, Trusty Tahr;3.19.0;desktop;Celeron;Japan;x86_64;Ubuntu
456486;4;500;4;\N;8 Jessie;4.0.1;desktop;Intel 2 Core Quad Q8200;Brazil;amd64;Debian
416358;8;2147483;8165;8377;14.04.4 LTS, Trusty Tahr;3.19.0;desktop;i7-920;Spain;x86_64;Ubuntu
222947;\N;\N;\N;\N;17.3 Rosa;3.19.0;desktop;Intel Pentium 4 3.2Ghz HT;Poland;amd64;Linux Mint
594679;4;4000000;16000;0;\N;4.2.5;desktop;AMD A10-7850K Radeon R7, 12 Compute Cores 4C 8G;Poland;x86_64;Arch
592655;1;11222;2035;4194;8 (jessie);4.0.5;desktop;Intel(R) Celeron(R) CPU 2.80GHz;Japan;i686;Debian
592655;1;11222;2038;0;8.3 (Hydrogen);3.16.0;desktop;Intel(R) Celeron(R) CPU 2.80GHz;Japan;i686;BunsenLabs
219810;4;587455;4017;8297;8 (jessie);3.16.0;desktop;1 x AMD Athlon 64 4000+;France;x86_64;Debian
219810;2;\N;\N;\N;8.3;3.2.73;desktop;64x2 Dual core Processor 3800+;France;amd64;Debian
595517;4;\N;\N;\N;newest;4.1.7;desktop;Intel i5;Germany;x86_64;Arch
595878;2;303711;3199;7818;14.1;3.10.17;desktop;Intel(R) Core(TM)2 Duo CPU E6550;United Kingdom;x86_64;Slackware
297494;4;1250000;7700;\N;14.04 LTS;3.0.16;desktop;I5 Intel;Italy;amd64;Ubuntu
593732;1;6697;1025;1315;14.04.1 LTS, Trusty Tahr;3.13.0;desktop;AMD Sempron(tm) Processor 2600;Spain;i686;Guadalinex
470495;8;2115752;8156;20891;42.1;4.4.0;desktop;AMD FX(tm)-8150 Eight-Core Processor;Germany;x86_64;openSUSE
592655;1;63729;4012;0;7 (Core);4.2.0;desktop;Celeron;Japan;x86_64;CentOS
592655;1;31864;4012;0;7.2 (Nitrogen);4.2.0;desktop;Celeron;Japan;x86_64;Scientific Linux
427104;4;789655;5858;8212;2015.11-ISO-Rolling;4.4.1;desktop;AMD Phenom(tm) 9600 Quad-Core Processor;Canada;x86_64;Antergos
597721;4;1907697;\N;\N;\N;4.4.3;desktop;Intel Core i3-2120 3.3 GHz;Poland;x86_64;Antergos
3759;1;32;64;0;backfire;2.6.32;embedded;MIPS 24Kc V7.4;United States;mips;OpenWrt
13687;2;145542;4006;131;14.1;3.10.17;embedded;Intel Pentium Pro;Germany;x86_64;Slackware
59331;1;397461;768;0;6.0.3;2.6.33;embedded;Feroceon;United States;arm;Debian
68277;4;115238;996;1048;8 (jessie);4.1.17;embedded;ARMv7 Processor rev 5 (v7l);United States;arm;Raspbian GNU/Linux
153198;4;295378;1763;5155;\N;3.5.0;embedded;Intel(R) Atom(TM) CPU 330;Brazil;i686;Ubuntu
71028;1;4;32;0;Backfire 10.03;2.6.32;embedded;MIPS 24Kc V7.4;Poland;mips;OpenWrt
241373;1;1000;500;0;6;2.6.32;embedded;AMD Geode LX800;Germany;i486;Debian
68277;1;115178;494;1048;8 (jessie);4.1.17;embedded;ARMv6-compatible processor rev 7 (v6l);United States;arm;Raspbian GNU/Linux
52541;1;7128;249;208;testing;3.2.0;embedded;Geode(TM) Integrated Processor by AMD PCS;United States;i586;Debian
214808;1;512;512;0;\N;2.6.30;embedded;1.2 GHz ARM Marvell Kirkwood 88F6281 (ARM9E);Belgium;unknown;unknown
279656;1;148900;256;0;dd-wrt v24-sp2;2.4.35;embedded;Broadcom BCM4712;Australia;mips;OpenWrt
241373;1;68000;128;0;6.0.5;3.2.0;embedded;Intel Atom Z530;Germany;i686;Debian
